order_id,order_date,customer_id,customer_name,customer_segment,region,city,category,subcategory,product_name,sales_person,quantity,unit_price,discount,sales,profit,payment_method
ORD-10001,2024-04-12,CUST-1427,Customer 1380,Consumer,North Western,Kurunegala,Electronics,Accessories,USB-C Hub,Kasun Silva,1,201350.53,0.0,201350.53,52047.48,Card
ORD-10002,2025-03-11,CUST-1072,Customer 1148,Consumer,North Western,Kurunegala,Electronics,Accessories,Bluetooth Speaker,Nimal Perera,6,216324.75,0.2,1038358.79,250180.26,Cash
ORD-10003,2024-09-27,CUST-1259,Customer 1376,Small Business,Central,Kandy,Electronics,Accessories,Mechanical Keyboard,Sachini Perera,5,147126.5,0.0,735632.51,89047.9,Digital Wallet
ORD-10004,2024-04-16,CUST-1419,Customer 1178,Small Business,Central,Matale,Fashion,Men,Denim Jeans,Dilan Jayasinghe,6,4834.24,0.1,26104.92,4831.96,Bank Transfer
ORD-10005,2024-03-12,CUST-1398,Customer 1357,Consumer,Southern,Galle,Home & Living,Furniture,Office Chair,Dilan Jayasinghe,2,15619.46,0.0,31238.93,5448.59,Cash
ORD-10006,2025-12-01,CUST-1040,Customer 1025,Small Business,Southern,Matara,Fashion,Men,Leather Belt,Nimal Perera,2,5785.72,0.0,11571.43,3078.76,Digital Wallet
ORD-10007,2024-01-21,CUST-1037,Customer 1316,Small Business,Western,Kalutara,Fashion,Kids,Backpack,Kasun Silva,5,5444.5,0.1,24500.27,1701.01,Cash
ORD-10008,2025-09-06,CUST-1040,Customer 1354,Consumer,Western,Kalutara,Home & Living,Furniture,Office Chair,Nimal Perera,5,84300.98,0.05,400429.64,102742.34,Digital Wallet
ORD-10009,2024-05-01,CUST-1269,Customer 1363,Corporate,Southern,Matara,Fashion,Men,Running Shoes,Kasun Silva,3,9957.17,0.0,29871.52,3232.07,Bank Transfer
ORD-10010,2025-04-11,CUST-1031,Customer 1023,Consumer,North Western,Kurunegala,Home & Living,Appliances,Vacuum Cleaner,Dilan Jayasinghe,5,58771.54,0.0,293857.72,70207.85,Digital Wallet
ORD-10011,2024-08-02,CUST-1295,Customer 1224,Consumer,Southern,Hambantota,Home & Living,Appliances,Iron,Kasun Silva,2,30479.75,0.15,51815.57,12579.31,Cash
ORD-10012,2024-11-26,CUST-1326,Customer 1414,Consumer,Sabaragamuwa,Kegalle,Groceries,Snacks,Biscuits,Ishara Madushan,5,1484.07,0.1,6678.3,1119.3,Bank Transfer
ORD-10013,2025-04-03,CUST-1352,Customer 1242,Consumer,Central,Nuwara Eliya,Groceries,Snacks,Mixed Nuts,Tharushi Fernando,7,3254.95,0.15,19366.98,1260.07,Card
ORD-10014,2024-03-28,CUST-1306,Customer 1270,Small Business,Central,Nuwara Eliya,Fashion,Kids,Kids Shorts,Dilan Jayasinghe,4,2331.49,0.0,9325.96,2002.95,Bank Transfer
ORD-10015,2025-01-07,CUST-1079,Customer 1416,Consumer,Central,Kandy,Groceries,Beverages,Tea Pack,Kasun Silva,7,3851.75,0.0,26962.25,1939.2,Card
ORD-10016,2024-04-09,CUST-1271,Customer 1375,Small Business,Sabaragamuwa,Kegalle,Electronics,Laptops,ASUS VivoBook,Dilan Jayasinghe,3,64521.82,0.15,164530.64,11239.78,Bank Transfer
ORD-10017,2025-10-25,CUST-1236,Customer 1440,Small Business,Eastern,Batticaloa,Electronics,Accessories,USB-C Hub,Tharushi Fernando,5,156285.9,0.1,703286.56,71793.29,Cash
ORD-10018,2024-05-10,CUST-1058,Customer 1380,Small Business,Southern,Matara,Home & Living,Furniture,Office Chair,Sachini Perera,4,77581.01,0.1,279291.64,46034.98,Bank Transfer
ORD-10019,2025-10-23,CUST-1072,Customer 1060,Small Business,Eastern,Batticaloa,Electronics,Accessories,USB-C Hub,Ishara Madushan,6,59830.56,0.05,341034.18,85678.16,Card
ORD-10020,2024-11-04,CUST-1428,Customer 1181,Small Business,Central,Matale,Home & Living,Appliances,Standing Fan,Tharushi Fernando,6,10475.49,0.05,59710.28,3108.38,Digital Wallet
ORD-10021,2024-12-09,CUST-1009,Customer 1166,Consumer,Western,Colombo,Fashion,Women,Floral Dress,Kasun Silva,4,8963.23,0.1,32267.64,6573.11,Cash
ORD-10022,2025-05-06,CUST-1277,Customer 1274,Consumer,Western,Kalutara,Groceries,Beverages,Coffee Jar,Sachini Perera,1,3053.75,0.05,2901.07,842.98,Digital Wallet
ORD-10023,2025-02-17,CUST-1392,Customer 1267,Consumer,Eastern,Batticaloa,Fashion,Kids,Kids Shorts,Ishara Madushan,6,11280.35,0.1,60913.86,14499.5,Card
ORD-10024,2025-01-20,CUST-1161,Customer 1202,Corporate,North Western,Puttalam,Groceries,Household,Tissue Pack,Ishara Madushan,6,2961.8,0.0,17770.78,3157.95,Digital Wallet
ORD-10025,2024-07-10,CUST-1194,Customer 1166,Consumer,Western,Colombo,Home & Living,Kitchen,Electric Kettle,Ishara Madushan,2,45452.35,0.0,90904.71,7400.58,Card
ORD-10026,2024-10-03,CUST-1123,Customer 1390,Consumer,Eastern,Batticaloa,Electronics,Mobile Phones,Galaxy A15,Nimal Perera,7,53778.69,0.1,338805.74700000003,96346.94,Cash
ORD-10027,2024-06-09,CUST-1318,Customer 1111,Corporate,Sabaragamuwa,Kegalle,Electronics,Accessories,Mechanical Keyboard,Sachini Perera,1,206732.15,0.15,175722.33,36028.35,Digital Wallet
ORD-10028,2025-04-04,CUST-1188,Customer 1362,Consumer,Central,Nuwara Eliya,Home & Living,Appliances,Water Heater,Dilan Jayasinghe,3,57187.25,0.1,154405.57,28436.67,Digital Wallet
ORD-10029,2024-11-09,CUST-1356,Customer 1173,Corporate,Central,Kandy,Electronics,Accessories,Bluetooth Speaker,Dilan Jayasinghe,6,28979.04,0.15,147793.08,13182.03,Digital Wallet
ORD-10030,2024-01-22,CUST-1361,Customer 1059,Consumer,Northern,Vavuniya,Electronics,Accessories,Wireless Mouse,Dilan Jayasinghe,5,176257.29,0.1,793157.8,71706.77,Bank Transfer
ORD-10031,2024-09-09,CUST-1213,Customer 1159,Small Business,Sabaragamuwa,Ratnapura,Home & Living,Kitchen,Blender,Dilan Jayasinghe,3,36067.43,0.0,108202.29,27908.81,Card
ORD-10032,2025-07-14,CUST-1096,Customer 1105,Consumer,Northern,Jaffna,Fashion,Women,Floral Dress,Dilan Jayasinghe,2,7011.71,0.2,11218.73,607.41,Cash
ORD-10033,2025-04-19,CUST-1186,Customer 1246,Consumer,Western,Kalutara,Electronics,Mobile Phones,Redmi Note 13,Dilan Jayasinghe,4,18114.04,0.1,65210.56,12025.92,Digital Wallet
ORD-10034,2024-02-28,CUST-1087,Customer 1298,Corporate,Northern,Jaffna,Groceries,Beverages,Coffee Jar,Nimal Perera,5,3732.29,0.0,18661.43,3753.19,Digital Wallet
ORD-10035,2025-05-25,CUST-1014,Customer 1231,Consumer,Southern,Matara,Fashion,Women,Ladies Watch,Kasun Silva,4,8138.92,0.05,30927.91,2635.85,Bank Transfer
ORD-10036,2025-11-12,CUST-1449,Customer 1424,Consumer,Central,Kandy,Electronics,Accessories,USB-C Hub,Nimal Perera,1,149825.23,0.05,142333.96,38201.83,Digital Wallet
ORD-10037,2025-04-20,CUST-1266,Customer 1332,Consumer,Eastern,Ampara,Home & Living,Kitchen,Rice Cooker,Nimal Perera,4,82525.33,0.0,330101.3,31873.19,Cash
ORD-10038,2025-11-30,CUST-1107,Customer 1421,Small Business,North Western,Kurunegala,Groceries,Beverages,Coffee Jar,Ishara Madushan,6,4755.77,0.0,28534.63,4105.02,Cash
ORD-10039,2024-07-08,CUST-1445,Customer 1404,Corporate,Eastern,Batticaloa,Groceries,Household,Tissue Pack,Kasun Silva,7,4076.93,0.1,25684.68,6749.58,Bank Transfer
ORD-10040,2025-11-17,CUST-1059,Customer 1325,Corporate,Central,Matale,Groceries,Beverages,Fruit Juice,Tharushi Fernando,2,495.56,0.1,892.01,109.03,Cash
ORD-10041,2025-07-16,CUST-1306,Customer 1285,Small Business,Western,Gampaha,Electronics,Mobile Phones,Redmi Note 13,Tharushi Fernando,1,117504.84,0.2,94003.87,4043.51,Card
ORD-10042,2025-07-20,CUST-1308,Customer 1336,Consumer,Southern,Galle,Home & Living,Furniture,Bookshelf,Dilan Jayasinghe,1,23846.42,0.05,22654.09,2318.75,Bank Transfer
ORD-10043,2024-08-31,CUST-1086,Customer 1175,Small Business,Eastern,Ampara,Electronics,Accessories,USB-C Hub,Nimal Perera,2,53985.52,0.1,97173.93,13886.09,Card
ORD-10044,2025-05-19,CUST-1369,Customer 1076,Corporate,Southern,Galle,Electronics,Accessories,Mechanical Keyboard,Tharushi Fernando,2,149619.53,0.0,299239.06,68288.94,Card
ORD-10045,2024-05-10,CUST-1090,Customer 1446,Small Business,North Western,Puttalam,Home & Living,Appliances,Iron,Dilan Jayasinghe,3,59541.19,0.1,160761.22,22603.16,Bank Transfer
ORD-10046,2025-04-29,CUST-1159,Customer 1324,Corporate,Sabaragamuwa,Ratnapura,Electronics,Accessories,Bluetooth Speaker,Nimal Perera,4,45131.79,0.2,144421.72,34937.76,Cash
