order_id,order_date,customer_id,customer_name,customer_segment,region,city,category,subcategory,product_name,sales_person,quantity,unit_price,discount,sales,profit,payment_method,year,month_number,month_name,year_month,quarter,profit_margin,discount_amount,sales_band
ORD-10001,2024-04-12,CUST-1427,Customer 1380,Consumer,North Western,Kurunegala,Electronics,Accessories,USB-C Hub,Kasun Silva,1,201350.53,0.0,201350.53,52047.48,Card,2024,4,April,2024-04,Q2,0.2584918947072054,0.0,Premium
ORD-10002,2025-03-11,CUST-1072,Customer 1148,Consumer,North Western,Kurunegala,Electronics,Accessories,Bluetooth Speaker,Nimal Perera,6,216324.75,0.2,1038358.79,250180.26,Cash,2025,3,March,2025-03,Q1,0.24093816358023992,259589.7,Premium
ORD-10003,2024-09-27,CUST-1259,Customer 1376,Small Business,Central,Kandy,Electronics,Accessories,Mechanical Keyboard,Sachini Perera,5,147126.5,0.0,735632.51,89047.9,Digital Wallet,2024,9,September,2024-09,Q3,0.12104943540355495,0.0,Premium
ORD-10004,2024-04-16,CUST-1419,Customer 1178,Small Business,Central,Matale,Fashion,Men,Denim Jeans,Dilan Jayasinghe,6,4834.24,0.1,26104.92,4831.96,Bank Transfer,2024,4,April,2024-04,Q2,0.1850976750742772,2900.544,Medium
ORD-10005,2024-03-12,CUST-1398,Customer 1357,Consumer,Southern,Galle,Home & Living,Furniture,Office Chair,Dilan Jayasinghe,2,15619.46,0.0,31238.93,5448.59,Cash,2024,3,March,2024-03,Q1,0.17441666535953695,0.0,Medium
ORD-10006,2025-12-01,CUST-1040,Customer 1025,Small Business,Southern,Matara,Fashion,Men,Leather Belt,Nimal Perera,2,5785.72,0.0,11571.43,3078.76,Digital Wallet,2025,12,December,2025-12,Q4,0.26606564616473505,0.0,Medium
ORD-10007,2024-01-21,CUST-1037,Customer 1316,Small Business,Western,Kalutara,Fashion,Kids,Backpack,Kasun Silva,5,5444.5,0.1,24500.27,1701.01,Cash,2024,1,January,2024-01,Q1,0.06942821446457528,2722.25,Medium
ORD-10008,2025-09-06,CUST-1040,Customer 1354,Consumer,Western,Kalutara,Home & Living,Furniture,Office Chair,Nimal Perera,5,84300.98,0.05,400429.64,102742.34,Digital Wallet,2025,9,September,2025-09,Q3,0.2565802571457997,21075.245,Premium
ORD-10009,2024-05-01,CUST-1269,Customer 1363,Corporate,Southern,Matara,Fashion,Men,Running Shoes,Kasun Silva,3,9957.17,0.0,29871.52,3232.07,Bank Transfer,2024,5,May,2024-05,Q2,0.10819904711912887,0.0,Medium
ORD-10010,2025-04-11,CUST-1031,Customer 1023,Consumer,North Western,Kurunegala,Home & Living,Appliances,Vacuum Cleaner,Dilan Jayasinghe,5,58771.54,0.0,293857.72,70207.85,Digital Wallet,2025,4,April,2025-04,Q2,0.2389178341137337,0.0,Premium
